Dental Services Pricelist for Government sector (Article 11),,,,,,,,,,,
Admitted / Non admitted,SBSCode,SBS code -Hyphenated ,Short Description,Long Description,Block ,Block Description ,Chapter ,Chapter Description ,Department/ Specialty,Price,
Non-admitted,973820010,97382-00-10,Surgical exposure of impacted tooth/ placement of an orthodontic appliance,Surgical exposure of impacted (unerupted) tooth and placement of an orthodontic appliance,461,Other dental surgical procedure,6,Dental services ,Periodontics,500,
Non-admitted,973840010,97384-00-10,Repositioning displaced tooth,Repositioning of displaced tooth; per tooth,461,Other dental surgical procedure,6,Dental services ,Periodontics,500,
Admitted/non-admitted ,973850010,97385-00-10,Surgical repositioning of unerupted tooth,Surgical repositioning of unerupted tooth,461,Other dental surgical procedure,6,Dental services ,Periodontics,500,
Non-admitted,973860110,97386-01-10,Splinting of displaced tooth,Splinting of displaced tooth; per tooth,461,Other dental surgical procedure,6,Dental services ,Periodontics,500,
Non-admitted,979810000,97981-00-00,"Splint & stabilisation of tooth, direct","Splinting and stabilisation of tooth, direct",490,Miscellaneous dental services,6,Dental services ,Periodontics,500,
Non-admitted,973870010,97387-00-10,Replantation and splinting of tooth,Reimplantation and splinting of tooth; per tooth,461,Other dental surgical procedure,6,Dental services ,Periodontics,500,
Non-admitted,973880010,97388-00-10,Transplantation of tooth or tooth bud,Transplantation of tooth or tooth bud; per tooth or bud,461,Other dental surgical procedure,6,Dental services ,Periodontics,2000,
Non-admitted,972810030,97281-00-30,Custom-made trays for vesiculobullous disease,Custom-made trays for vesiculobullous disease,456,Periodontic interventions,6,Dental services ,Periodontics,1500,
Non-admitted,972810040,97281-00-40,Custom-made trays for periodontal disease,Custom-made trays for periodontal disease ,456,Periodontic interventions,6,Dental services ,Periodontics,300,
Non-admitted,972810050,97281-00-50,Admin of antimicrobial agents; localized delivery,Administration of antimicrobial agents; localized delivery,456,Periodontic interventions,6,Dental services ,Periodontics,200,
Non-admitted,972600100,97260-01-00,Admin of biologic materials to aid in soft & osseous tissue regeneration with periradicular surgery,"Administration of biologic materials to aid in soft and osseous tissue regeneration with periradicular surgery, per tooth",456,Periodontic interventions,6,Dental services ,Periodontics,1000,
Non-admitted,972600200,97260-02-00,"Treatment of peri-implant disease; surgical, per implant",Surgical treatment of peri-implant disease; per implant,456,Periodontic interventions,6,Dental services ,Periodontics,1000,
Non-admitted,972600310,97260-03-10,"Anatomical crown exposure, per arch","Anatomical crown exposure, per arch",456,Periodontic interventions,6,Dental services ,Periodontics,1000,
Non-admitted,972600400,97260-04-00,"Wedge procedure, mesial & distal","Wedge procedure, mesial and distal, per tooth",456,Periodontic interventions,6,Dental services ,Periodontics,1000,
Non-admitted,972360000,97236-00-00,Guided tissue regeneration,"Guided tissue regeneration, per tooth or implant",456,Periodontic interventions,6,Dental services ,Periodontics,1500,
Non-admitted,972370000,97237-00-00,Guided tissue regeneration membrane removal,"Guided tissue regeneration, membrane removal",456,Periodontic interventions,6,Dental services ,Periodontics,1500,
Non-admitted,972310000,97231-00-00,Gingivectomy = < 8 teeth,"Gingivectomy, up to 8 teeth",456,Periodontic interventions,6,Dental services ,Periodontics,1500,
Non-admitted,972310100,97231-01-00,Gingivectomy > 8 teeth,Gingivectomy more than 8 teeth,456,Periodontic interventions,6,Dental services ,Periodontics,2000,
Non-admitted,972310200,97231-02-00,Gingivectomy for restorative procedure,"Gingivectomy for restorative procedure, per tooth",456,Periodontic interventions,6,Dental services ,Periodontics,1000,
Non-admitted,972600510,97260-05-10,Recontour tissue; per appointment ,Recontour tissue; per appointment ,456,Periodontic interventions,6,Dental services ,Periodontics,1000,
Non-admitted,972380010,97238-00-10,"Periodontal flap proc, crown lengthening","Periodontal flap procedure for crown lengthening, per tooth",456,Periodontic interventions,6,Dental services ,Periodontics,1000,
Non-admitted,972320010,97232-00-10,"Periodontal flap procedure, per quadrant","Periodontal flap procedure, per quadrant",456,Periodontic interventions,6,Dental services ,Periodontics,700,
Non-admitted,972700010,97270-00-10,Transposition Flap (Small),Transposition Flap (Small),456,Periodontic interventions,6,Dental services ,Periodontics,700,
Non-admitted,972700110,97270-01-10,Transposition Flap (Moderate),Transposition Flap (Moderate),456,Periodontic interventions,6,Dental services ,Periodontics,700,
Non-admitted,972700120,97270-01-20,Rotation Flap (Moderate),Rotation Flap (Moderate),456,Periodontic interventions,6,Dental services ,Periodontics,700,
Non-admitted,972710000,97271-00-00,Apically positioned periodontal flap,Apically positioned periodontal flap,456,Periodontic interventions,6,Dental services ,Periodontics,1000,
Non-admitted,972710100,97271-01-00,Open flap/curettage surgery,Open flap/curettage surgery;  per tooth/implant ,456,Periodontic interventions,6,Dental services ,Periodontics,1000,
Non-admitted,972710200,97271-02-00,Pedicle soft tissue graft,Pedicle soft tissue graft,456,Periodontic interventions,6,Dental services ,Periodontics,2500,
Non-admitted,972351000,97235-10-00,"Auto connective tissue graft, implant or edentulous tooth area in graft site - Donor site","Auto connective tissue graft, implant or edentulous tooth area in graft site - Donor site",456,Periodontic interventions,6,Dental services ,Periodontics,2500,
Non-admitted,972352000,97235-20-00,"Auto connective tissue graft, implant or edentulous tooth area in graft site - Recipient site","Auto connective tissue graft, implant or edentulous tooth area in graft site - Recipient site",456,Periodontic interventions,6,Dental services ,Periodontics,2500,
Non-admitted,972354010,97235-40-10,"Non-autogenous connective tissue graft each tooth, implant or edentulous tooth area in graft site, donor site","Non-autogenous connective tissue graft each tooth, implant or edentulous tooth area in graft site; Donor site",456,Periodontic interventions,6,Dental services ,Periodontics,2500,
Non-admitted,972354020,97235-40-20,"Non-autogenous connective tissue graft each tooth, implant or edentulous tooth area in graft site; Recipient site","Non-autogenous connective tissue graft each tooth, implant or edentulous tooth area in graft site; Recipient site",456,Periodontic interventions,6,Dental services ,Periodontics,2500,
Non-admitted,972353500,97235-35-00,"Connective tissue & double pedicle graft, combined procedure","Connective tissue & double pedicle graft, combined procedure",456,Periodontic interventions,6,Dental services ,Periodontics,2500,
Non-admitted,972355010,97235-50-10,"Free soft tissue graft each tooth, implant or edentulous tooth area in graft site; Donor site","Free soft tissue graft each tooth, implant or edentulous tooth area in graft site; donor site",456,Periodontic interventions,6,Dental services ,Periodontics,2500,
Non-admitted,972355020,97235-50-20,"Free soft tissue graft each tooth, implant or edentulous tooth area in graft site; Recipient site","Free soft tissue graft each tooth, implant or edentulous tooth area in graft site; recipient site",456,Periodontic interventions,6,Dental services ,Periodontics,2500,
Non-admitted,972340010,97234-00-10,Alveolar osseous grft,Alveolar osseous graft,456,Periodontic interventions,6,Dental services ,Periodontics,2500,
Non-admitted,972440000,97244-00-00,"Bone graft; natural, per site/tooth/implant","Bone graft, natural tooth site, per site or tooth or implant ",456,Periodontic interventions,6,Dental services ,Periodontics,2000,
Non-admitted,972440020,97244-00-20,"Bone graft for implant placement, combined procedure",Bone graft for implant placement; combined procedure,456,Periodontic interventions,6,Dental services ,Periodontics,1000,
Non-admitted,972440010,97244-00-10,Peri-implant bone graft for repair of defect,Peri-implant bone graft for repair of defect without flap entry and closure,456,Periodontic interventions,6,Dental services ,Periodontics,1000,
Non-admitted,972810070,97281-00-70,Peri-implant debridement and osseous contouring procedure,"Peri-implant debridement and osseous contouring procedure of defects surrounding a single implant, including flap entry and closure",456,Periodontic interventions,6,Dental services ,Periodontics,1000,
Non-admitted,972330010,97233-00-10,Alveolar osseous procedure,Alveolar osseous procedure; per tooth,456,Periodontic interventions,6,Dental services ,Periodontics,2500,
Non-admitted,972430000,97243-00-00,Bone replacement graft for ridge preservation - per site,Bone replacement graft for ridge preservation - per site,456,Periodontic interventions,6,Dental services ,Periodontics,4000,
Non-admitted,972810000,97281-00-00,"Nonsurgical periodontal treatment, NEC","Nonsurgical periodontal treatment, not elsewhere classified",456,Periodontic interventions,6,Dental services ,Periodontics,300,
Non-admitted,972450000,97245-00-00,"Surgical periodontal procedure, NEC ","Surgical periodontal procedure, not elsewhere classified ",456,Periodontic interventions,6,Dental services ,Periodontics,600,
Non-admitted,980010000,98001-00-00,Therapeutic restoration primary teeth < 12 years,"Interim therapeutic restoration for primary dentition, for children less than 12 years",490,Miscellaneous dental services,6,Dental services ,Pedodontics ,500,
Non-admitted,974140010,97414-00-10,"Pulpotomy for immature permanent, primary dentition","Pulpotomy for immature permanent, primary dentition",462,Pulp treatment,6,Dental services ,Pedodontics ,500,
Non-admitted,974210000,97421-00-00,Resorbable root canal filling prim tooth,"Resorbable root canal filling, primary tooth",462,Pulp treatment,6,Dental services ,Pedodontics ,1000,
Non-admitted,976180400,97618-04-00,"Prefabricated stainless steel crown, primary tooth",Prefabricated stainless steel crown for primary tooth; per crown,470,Crown,6,Dental services ,Pedodontics ,700,
Non-admitted,980020000,98002-00-00,R/O of primary tooth or part(s) thereof,Extraction (removal) of primary tooth or part(s) thereof,490,Miscellaneous dental services,6,Dental services ,Pedodontics ,300,
Non-admitted,980030011,98003-00-11,"Fixed space maintainer placement, uni","Fixed space maintainer placement, unilateral",490,Miscellaneous dental services,6,Dental services ,Pedodontics ,1000,
Non-admitted,980030012,98003-00-12,Fixed space maintainer placement; bil,Fixed space maintainer placement; bilateral,490,Miscellaneous dental services,6,Dental services ,Pedodontics ,1000,
Non-admitted,980060010,98006-00-10,Distal shoe appliance placement,Distal shoe appliance placement,490,Miscellaneous dental services,6,Dental services ,Pedodontics ,1500,
Non-admitted,980040011,98004-00-11,Removable space maintainer placement; uni,"Removable space maintainer placement, unilateral",490,Miscellaneous dental services,6,Dental services ,Pedodontics ,1000,
Non-admitted,980040012,98004-00-12,Removable space maintainer placement; bil,"Removable space maintainer placement, bilateral",490,Miscellaneous dental services,6,Dental services ,Pedodontics ,1500,
Non-admitted,980030110,98003-01-10,Space maintainer re-cementation,Space maintainer re-cementation,490,Miscellaneous dental services,6,Dental services ,Pedodontics ,200,
Non-admitted,980030210,98003-02-10,Fixed space maintainer removal,Removal of fixed space maintainer,490,Miscellaneous dental services,6,Dental services ,Pedodontics ,200,
Non-admitted,974110010,97411-00-10,Direct pulp capping,Direct pulp capping,462,Pulp treatment,6,Dental services ,Endodontics,200,
Non-admitted,974110100,97411-01-00,Indirect pulp capping,Indirect pulp capping,462,Pulp treatment,6,Dental services ,Endodontics,200,
Non-admitted,974140100,97414-01-00,"Partial pulpotomy, permanent",Partial pulpotomy permanent tooth,462,Pulp treatment,6,Dental services ,Endodontics,500,
Non-admitted,974200100,97420-01-00,"Root canal treatment, anterior","Root canal treatment, anterior (includes extirpation of pulp, chemomechanical preparation, obturation)",462,Pulp treatment,6,Dental services ,Endodontics,1500,
Non-admitted,974200200,97420-02-00,"Root canal treatment, premolar","Root canal treatment, premolar (includes extirpation of pulp, chemomechanical preparation, obturation)",462,Pulp treatment,6,Dental services ,Endodontics,1500,
Non-admitted,974200300,97420-03-00,"Root canal treatment, molar","Root canal treatment, molar (includes extirpation of pulp, chemomechanical preparation, obturation)",462,Pulp treatment,6,Dental services ,Endodontics,1500,
Non-admitted,974150010,97415-00-10,Complete chemomechanical preparation of root canal,Chemomechanical preparation of root canal,462,Pulp treatment,6,Dental services ,Endodontics,1500,
Non-admitted,974160010,97416-00-10,"Complete chemomechanical preparation of root canal, any additional canal (add on code)",Complete chemomechanical preparation of root canal; any additional canal (beyond the usual number of roots per tooth) (add on code),462,Pulp treatment,6,Dental services ,Endodontics,1500,
Non-admitted,974170010,97417-00-10,Root canal obturation,Root canal obturation,462,Pulp treatment,6,Dental services ,Endodontics,500,
Non-admitted,974180010,97418-00-10,Root canal obturation; each additional canal (add on code),Root canal obturation; any additional canal (beyond the usual number of roots per tooth) (add on code),462,Pulp treatment,6,Dental services ,Endodontics,600,
Non-admitted,974190010,97419-00-10,Extirpation of pulp or debridement of root canal(s),"Extirpation of pulp or debridement of root canal(s), emergency or palliative procedure",462,Pulp treatment,6,Dental services ,Endodontics,1500,
Non-admitted,974191000,97419-10-00,"Extirpation of pulp or debridement of root canal(s), additional root canal","Extirpation of pulp or debridement of root canal(s), emergency or palliative procedure for any additional root canal (beyond the usual number of roots per tooth), add on code",462,Pulp treatment,6,Dental services ,Endodontics,1500,
Non-admitted,974550010,97455-00-10,Irrigation and dressing (intracanal medication/medicament) of root canal system,Irrigation and dressing (intracanal medication/medicament) of root canal system,464,Other endodontic service,6,Dental services ,Endodontics,part of main service and / or follow ups,
Non-admitted,974450010,97445-00-10,Exploration or negotiation of calcified root canal,Exploration or negotiation of calcified root canal,464,Other endodontic service,6,Dental services ,Endodontics,part of main service and / or follow ups,
Non-admitted,974580000,97458-00-00,Interim therapeutic root filling,Interim therapeutic root filling,464,Other endodontic service,6,Dental services ,Endodontics,200,
Non-admitted,974570010,97457-00-10,Obturation of resorption defect or perforation,Obturation of resorption defect or perforation,464,Other endodontic service,6,Dental services ,Endodontics,1500,
Non-admitted,976252000,97625-20-00,Prefabricated post and core,"Prefabricated post and core, per post and core",470,Crown,6,Dental services ,Endodontics,1200,
Non-admitted,976251000,97625-10-00,Indirectly fabricated post and core,Indirectly fabricated post and core; per tooth,470,Crown,6,Dental services ,Endodontics,1200,
Non-admitted,975970010,97597-00-10,"Post, preformed/ wrought","Post, preformed/ wrought; per tooth",469,Other restorative dental service,6,Dental services ,Endodontics,1500,
Non-admitted,976290010,97629-00-10,"Post and root cap, indirect","Post and root cap, indirect; per tooth",470,Crown,6,Dental services ,Endodontics,1500,
Non-admitted,974140200,97414-02-00,Apexogenesis,Apexogenesis,462,Pulp treatment,6,Dental services ,Endodontics,1000,
Non-admitted,974140300,97414-03-00,Apexification/ recalcification; Initial Visit,Apexification/ recalcification; Initial Visit,462,Pulp treatment,6,Dental services ,Endodontics,1000,
Non-admitted,974140400,97414-04-00,"Apexification/ recalcification, medication replacement visit","Apexification/ recalcification, medication replacement visit",462,Pulp treatment,6,Dental services ,Endodontics,800,
Non-admitted,974140500,97414-05-00,Pulpal regeneration,Pulpal regeneration; each visit; per tooth,462,Pulp treatment,6,Dental services ,Endodontics,900,
Non-admitted,974310010,97431-00-10,Periapical curettage,Periapical curettage; per root,463,Periradicular surgery,6,Dental services ,Endodontics,700,
Non-admitted,974320000,97432-00-00,"Apicectomy, per root","Apicectomy, per root",463,Periradicular surgery,6,Dental services ,Endodontics,1000,
Non-admitted,974330000,97433-00-00,Exploratory periradicular surgery,Exploratory periradicular surgery,463,Periradicular surgery,6,Dental services ,Endodontics,2000,
Non-admitted,974330010,97433-00-10,Bone graft with periradicular surgery,Bone graft with periradicular surgery; per site,463,Periradicular surgery,6,Dental services ,Endodontics,2000,
Non-admitted,974340010,97434-00-10,Apical seal of root canal,Apical seal of root canal; per tooth,463,Periradicular surgery,6,Dental services ,Endodontics,1300,
Non-admitted,974360000,97436-00-00,Surgical sealing of root perforation,Surgical sealing of root perforation; per area perforated,463,Periradicular surgery,6,Dental services ,Endodontics,1300,
Non-admitted,974370010,97437-00-10,Surgical treatment and repair of external root resorption,Surgical treatment and repair of external root resorption; per tooth,463,Periradicular surgery,6,Dental services ,Endodontics,1500,
Non-admitted,974380000,97438-00-00,Hemisection of multi rooted tooth,Hemisection of multi rooted tooth,463,Periradicular surgery,6,Dental services ,Endodontics,2000,
Non-admitted,976290100,97629-01-00,Repair or Recementation of fabricated/ prefabricated post and core,Repair or Recementation of fabricated/ prefabricated post and core; per post and core,470,Other endodontic service,6,Dental services ,Endodontics,200,
Non-admitted,974510000,97451-00-00,"Removal of root filling, per canal","Removal of root filling, per canal",464,Other endodontic service,6,Dental services ,Endodontics,300,
Non-admitted,974520000,97452-00-00,"Removal of cemented root canal post or post crown, per tooth",Removal of cemented root canal post or post crown; per tooth,464,Other endodontic service,6,Dental services ,Endodontics,350,
Non-admitted,974530000,97453-00-00,Removal or bypass of fractured endodontic instrument,Removal or bypass of fractured endodontic instrument,464,Other endodontic service,6,Dental services ,Endodontics,600,
Non-admitted,974200400,97420-04-00,Retreatment of previously treated root,Retreatment of previously treated root canal,464,Other endodontic service,6,Dental services ,Endodontics,3000,
Non-admitted,975750000,97575-00-00,Insertion of dental pin; per pin,Insertion of dental pin; per pin,469,Other restorative dental service,6,Dental services ,Restorative,200,
Non-admitted,975790110,97579-01-10,Bonding of tooth fragment,Bonding of tooth fragment; per tooth,469,Other restorative dental service,6,Dental services ,Restorative,500,
Non-admitted,975820100,97582-01-00,"Bonding veneer to surface tooth, direct","Bonding of veneer to surface of tooth, direct",469,Other restorative dental service,6,Dental services ,Restorative,500,
Non-admitted,975190010,97519-00-10,"Restoration, preventive resin; mod/high caries risk; permanent tooth",Restoration using preventive resin; moderate/high caries risk; permanent tooth,469,Other restorative dental service,6,Dental services ,Restorative,300,
Non-admitted,975190020,97519-00-20,Resin infiltration restoration of incipient smooth surface lesions,Resin infiltration restoration of incipient smooth surface lesions; per surface,469,Other restorative dental service,6,Dental services ,Restorative,300,
Non-admitted,975110110,97511-01-10,"Metallic restoration of tooth, 1 surface, direct","Metallic restoration of tooth, one surface, direct",465,Metallic restoration,6,Dental services ,Restorative,300,
Non-admitted,975110200,97511-02-00,"Metallic restoration of tooth, each additional surface, direct","Metallic restoration of tooth, each additional surface, direct",465,Metallic restoration,6,Dental services ,Restorative,350,
Non-admitted,975410110,97541-01-10,"Metallic restoration of tooth, 1 surface, indirect","Metallic restoration of tooth, one surface, indirect",465,Metallic restoration,6,Dental services ,Restorative,400,
Non-admitted,975410200,97541-02-00,"Metallic restoration of tooth, each additional surface, indirect","Metallic restoration of tooth, each additional surface, indirect",465,Metallic restoration,6,Dental services ,Restorative,350,
Non-admitted,975210110,97521-01-10,"Adhesive restoration, 1 surface, direct","Adhesive restoration (e.g. compomer, composite, glass ionomer, polymer glass, resin composite), one surface, direct",466,Tooth-coloured restoration,6,Dental services ,Restorative,300,
Non-admitted,975210200,97521-02-00,"Adhesive restoration, each additional surface, direct","Adhesive restoration (e.g. compomer, composite, glass ionomer, polymer glass, resin composite), each additional surface, direct",466,Tooth-coloured restoration,6,Dental services ,Restorative,350,
Non-admitted,975720110,97572-01-10,Prov restoration of tooth,"Provisional restoration, per tooth",469,Other restorative dental service,6,Dental services ,Restorative,300,
Non-admitted,975780000,97578-00-00,Restoration of incisal corner of anterior tooth; per corner,Restoration of incisal corner of anterior tooth; per corner,469,Other restorative dental service,6,Dental services ,Restorative,300,
Non-admitted,971130000,97113-00-00,Recontouring pre-existing restoration(s),Recontouring of pre-existing restoration(s),453,Dental prophylaxis and bleaching,6,Dental services ,Restorative,100,
Non-admitted,975770000,97577-00-00,Cusp capping restoration; per cusp,Cusp capping restoration; per cusp,469,Other restorative dental service,6,Dental services ,Restorative,200,
Non-admitted,975750010,97575-00-10,Core buildup including any pins when required,Core buildup including any pins when required,469,Other restorative dental service,6,Dental services ,Restorative,300,
Non-admitted,976130800,97613-08-00,Strip crown,Strip crown; per crown,470,Crown,6,Dental services ,Restorative,700,
Non-admitted,974590010,97459-00-10,Other and unsp Restorative / endodontics procedure,Other and unspecified Restorative / endodontics procedure,464,Other endodontic service,6,Dental services ,Restorative,10000,
Non-admitted,977190110,97719-01-10,Primary impression for Maxilla /Mandible for denture processing,Primary impression for Maxilla /Mandible for denture processing,474,Denture or denture component,6,Dental services ,Prosthodontics,part of main service and / or follow ups,
Non-admitted,977190120,97719-01-20,Border Molding,Border Molding,474,Denture or denture component,6,Dental services ,Prosthodontics,part of main service and / or follow ups,
Non-admitted,977190130,97719-01-30,Final impression for Maxilla / Mandible,Final impression for Maxilla / Mandible,474,Denture or denture component,6,Dental services ,Prosthodontics,part of main service and / or follow ups,
Non-admitted,977190140,97719-01-40,Face bow transfer,Face bow transfer,474,Denture or denture component,6,Dental services ,Prosthodontics,part of main service and / or follow ups,
Non-admitted,977190150,97719-01-50,Bite registration,Bite registration,474,Denture or denture component,6,Dental services ,Prosthodontics,part of main service and / or follow ups,
Non-admitted,977190160,97719-01-60,Try in of the upper / lower denture,Try in of the upper / lower denture,474,Denture or denture component,6,Dental services ,Prosthodontics,part of main service and / or follow ups,
Non-admitted,977190170,97719-01-70,Denture Insertion,Denture Insertion,474,Denture or denture component,6,Dental services ,Prosthodontics,8000,
Non-admitted,977190180,97719-01-80,Tooth Preparation for crown/ FPD,Tooth Preparation for crown/ FPD,474,Denture or denture component,6,Dental services ,Prosthodontics,part of main service and / or follow ups,
Non-admitted,976310010,97631-00-10,Fabrication of temporary crown,Fabrication of temporary crown; per crown,470,Crown,6,Dental services ,Fixed prosthodontics,300,
Non-admitted,976320000,97632-00-00,Fabrication of temporary FPD; per denture,Fabrication of temporary fixed partial denture; per denture,471,Bridge,6,Dental services ,Fixed prosthodontics,1000,
Non-admitted,976330000,97633-00-00,Prov implant abutment per abutment,"Provisional implant abutment, per abutment",471,Bridge,6,Dental services ,Fixed prosthodontics,400,
Non-admitted,976340100,97634-01-00,Prov implant restoration per abutment,"Provisional implant restoration, per abutment",471,Bridge,6,Dental services ,Fixed prosthodontics,300,
Non-admitted,976440000,97644-00-00,Provision of stress breaker,Provision of stress breaker to reduce occlusal force ,471,Bridge,6,Dental services ,Fixed prosthodontics,1000,
Non-admitted,975830110,97583-01-10,Attachment veneer surface tooth resin laminate,"Attachment veneer surface tooth, resin laminate, indirect",469,Other restorative dental service,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,975830210,97583-02-10,Attachment veneer surface tooth porcelain laminate indirect,"Attachment of veneer to surface of tooth, porcelain laminate, indirect",469,Other restorative dental service,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,975410300,97541-03-00,"Inlay metallic, 1 surface","Inlay metallic restoration, one surface, indirect",465,Metallic restoration,6,Dental services ,Fixed prosthodontics,1500,
Non-admitted,975410400,97541-04-00,"Inlay metallic, each additional surface","Inlay metallic restoration, each additional surface, indirect",465,Metallic restoration,6,Dental services ,Fixed prosthodontics,1500,
Non-admitted,975510200,97551-02-00,"Inlay porcelain/ ceramic, one surface, indirect","Inlay porcelain/ ceramic, one surface, indirect",466,Tooth-coloured restoration,6,Dental services ,Fixed prosthodontics,2000,
Non-admitted,975510300,97551-03-00,"Inlay porcelain/ ceramic, indirect, each additional surface, each additional surface","Inlay porcelain/ ceramic, each additional surface, indirect",466,Tooth-coloured restoration,6,Dental services ,Fixed prosthodontics,400,
Non-admitted,975510600,97551-06-00,"Inlay resin based composite, one surface, indirect","Inlay resin based composite, one surface, indirect",466,Tooth-coloured restoration,6,Dental services ,Fixed prosthodontics,1500,
Non-admitted,975510700,97551-07-00,"Inlay resin based composite, indirect, each additional surface","Inlay resin based composite, each additional surface, indirect",466,Tooth-coloured restoration,6,Dental services ,Fixed prosthodontics,400,
Non-admitted,975410500,97541-05-00,"Onlay metallic, 1 surface","Onlay metallic restoration, one surface, indirect",465,Metallic restoration,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,975410600,97541-06-00,"Onlay metallic, each additional surface","Onlay metallic restoration, each additional surface, indirect",465,Metallic restoration,6,Dental services ,Fixed prosthodontics,1500,
Non-admitted,975510400,97551-04-00,"Onlay porcelain/ ceramic, 1 surface","Onlay porcelain/ ceramic restoration, one surface, indirect",466,Tooth-coloured restoration,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,975510500,97551-05-00,"Onlay porcelain/ ceramic, each additional surface","Onlay porcelain/ ceramic restoration, each additional surface, indirect",466,Tooth-coloured restoration,6,Dental services ,Fixed prosthodontics,400,
Non-admitted,975510800,97551-08-00,"Onlay resin based composite, 1 surface","Onlay resin based composite restoration; one surface, indirect",466,Tooth-coloured restoration,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,975510900,97551-09-00,"Onlay resin based composite restoration, indirect, each additional surface","Onlay resin based composite restoration, each additional surface, indirect",466,Tooth-coloured restoration,6,Dental services ,Fixed prosthodontics,400,
Non-admitted,976270010,97627-00-10,Preliminary restor for crown,"Preliminary restoration for crown, direct",470,Crown,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,976180100,97618-01-00,"Prefabricated stainless steel crown, permanent tooth",Prefabricated stainless steel crown for permanent tooth; per crown,470,Crown,6,Dental services ,Fixed prosthodontics,900,
Non-admitted,976180300,97618-03-00,"Crown, precious metal (gold)","Crown, precious metal (gold), indirect, per crown",470,Crown,6,Dental services ,Fixed prosthodontics,3500,
Non-admitted,976180010,97618-00-10,All metal crown (except gold),"All Metal crown (steel, palladium, nickel or chromium), indirect; per crown",470,Crown,6,Dental services ,Fixed prosthodontics,3500,
Non-admitted,976110110,97611-01-10,All resin crown,"All Resin (Composite, Acrylic) crown, indirect; per crown",470,Crown,6,Dental services ,Fixed prosthodontics,300,
Non-admitted,976130100,97613-01-00,Porcelain/Ceramic crown,"Porcelain/Ceramic crown, indirect; per crown",470,Crown,6,Dental services ,Fixed prosthodontics,300,
Non-admitted,976130700,97613-07-00,Lithium disilicate ceramic crown ,"Lithium disilicate ceramic crown (E Max), indirect; per crown",470,Crown,6,Dental services ,Fixed prosthodontics,300,
Non-admitted,976130200,97613-02-00,Zirconium crown,"Zirconium crown, indirect; per crown",470,Crown,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,976130400,97613-04-00,Titanium crown,"Titanium crown, indirect; per crown",470,Crown,6,Dental services ,Fixed prosthodontics,2500,
Non-admitted,976180200,97618-02-00,Composite with metal crown,"Composite with metal crown, indirect; per crown",470,Crown,6,Dental services ,Fixed prosthodontics,2500,
Non-admitted,976151000,97615-10-00,Porcelain fused to base metal crown,"Porcelain fused to base metal crown, indirect; per crown",470,Crown,6,Dental services ,Fixed prosthodontics,2500,
Non-admitted,976130300,97613-03-00,Zirconium fused to ceramic crown,"Zirconium fused to ceramic crown, indirect; per crown",470,Crown,6,Dental services ,Fixed prosthodontics,2500,
Non-admitted,976130500,97613-05-00,Surveyed crown,Surveyed crown; per crown,470,Crown,6,Dental services ,Fixed prosthodontics,2000,
Non-admitted,976420000,97642-00-00,"FPD pontic, direct, per pontic","Fixed partial denture pontic, direct, per pontic",471,Bridge,6,Dental services ,Fixed prosthodontics,2000,
Non-admitted,976430010,97643-00-10,Resin bonded FPD,"Resin bonded fixed partial dentures (Rochette, Maryland)",471,Bridge,6,Dental services ,Fixed prosthodontics,4000,
Non-admitted,976430020,97643-00-20,Cantilever FPD,Cantilever fixed partial denture,471,Bridge,6,Dental services ,Fixed prosthodontics,4000,
Non-admitted,976430030,97643-00-30,High noble metal pontic,"High noble metal pontic, per pontic",471,Bridge,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,976430040,97643-00-40,Noble metal pontic,"Noble metal pontic, per pontic",471,Bridge,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,976430050,97643-00-50,Resin with metal pontic,"Resin with metal pontic, per pontic",471,Bridge,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,976430060,97643-00-60,Porcelain fused metal pontic,"Porcelain fused metal pontic, per pontic",471,Bridge,6,Dental services ,Fixed prosthodontics,6000,
Non-admitted,976430070,97643-00-70,Porcelain/ ceramic pontic,"Porcelain/ ceramic pontic, per pontic",471,Bridge,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,976430080,97643-00-80,Lithium disilicate ceramic pontic,"Lithium disilicate ceramic pontic (E Max), per pontic",471,Bridge,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,976430090,97643-00-90,"Zirconium pontic, per pontic","Zirconium pontic, per pontic",471,Bridge,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,976431010,97643-10-10,Titanium pontic,"Titanium pontic, per pontic",471,Bridge,6,Dental services ,Fixed prosthodontics,3000,
Non-admitted,977210010,97721-00-10,"Resin base, per abutment","Resin base, per abutment",474,Denture or denture component,6,Dental services ,Fixed prosthodontics,2000,
