Dental Services Pricelist for Government sector (Article 11),,,,,,,,,,,
Admitted / Non admitted,SBSCode,SBS code -Hyphenated ,Short Description,Long Description,Block ,Block Description ,Chapter ,Chapter Description ,Department/ Specialty,Price,
Non-admitted,550280020,55028-00-20,Maxillofacial U/S capture and interpretation,Maxillofacial ultrasound capture and interpretation,1940,Ultrasound of head or neck,20,Imaging services ,Oral Medicine & Diagnostics,600,
Non-admitted,909040010,90904-00-10,Fusion of two or more 3D image volumes of one or more modalities,Fusion of two or more 3-Dimensional image volumes of one or more modalities,2016,Other imaging services,20,Imaging services ,Oral Medicine & Diagnostics,600,
Non-admitted,970710000,97071-00-00,Preparation of dental diagnostic cast,Preparation of dental diagnostic cast,452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,450,
Non-admitted,970710010,97071-00-10,Diagnostic wax-up,Diagnostic wax-up,452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,850,
Non-admitted,970710020,97071-00-20,3D Simulation dental treatment planning for orthodontic procedures,3D (Three Dimensional) Simulation dental treatment planning for orthodontic procedures,452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,400,
Non-admitted,979630000,97963-00-00,Clinical occlusal analysis including muscle and joint palpation,Clinical occlusal analysis including muscle and joint palpation,489,Occlusal therapy,6,Dental services ,Oral Medicine & Diagnostics,800,
Non-admitted,979640000,97964-00-00,Registration and mounting of model for occlusal analysis,Registration and mounting of model for occlusal analysis,489,Occlusal therapy,6,Dental services ,Oral Medicine & Diagnostics,350,
Non-admitted,970480120,97048-01-20,Caries risk assessment,Caries risk assessment,452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,200,
Non-admitted,970480110,97048-01-10,Non-ionizing cavity detection procedure,Non-ionizing cavity detection procedure,452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,150,
Non-admitted,970610000,97061-00-00,"Pulp testing, 1 tooth","Pulp vitality test, 1 tooth",452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,180,
Non-admitted,970140030,97014-00-30,Glucose strip test in dental office,"Glucose strip test in office, for emergency dental procedure",450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,79,
Non-admitted,970430000,97043-00-00,Dental antibiotic sensitivity test,Dental antibiotic sensitivity test,452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,308,
Non-admitted,970440000,97044-00-00,"Dental noninvas specimen collection, pathology examination","Dental non invasive specimen  (blood, pus, liquid, saliva) collection for pathology examination",452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,100,
Non-admitted,970520000,97052-00-00,Dental histopathological exam of tissue,Dental histopathological examination of tissue,452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,100,
Non-admitted,970140050,97014-00-50,Consultation on slides prepared elsewhere,Consultation on slides prepared elsewhere,450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,650,
Non-admitted,970140060,97014-00-60,"Consultation, including preparation of slides from biopsy material supplied by referring source","Consultation, including preparation of slides from biopsy material (supplied by referring physician)",450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,1000,
Non-admitted,970480100,97048-01-00,Bacteriological screening test,Bacteriological screening test,452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,100,
Non-admitted,970140040,97014-00-40,HbA1c in-office point of service testing,HbA1c (Hemoglobin A1C) in-office point of service testing,450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,300,
Admitted/non-admitted ,979150020,97915-00-20,Nurse intervention for patient in distress,Nurse intervention for patient in distress,484,Dental emergency,6,Dental services ,Oral Medicine & Diagnostics,1000,
Non-admitted,970890010,97089-00-10,Other and unsp Oral Medicine/ Oral Pathology procedure,Other and unspecified Oral Medicine/ Oral Pathology procedure,452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,650,
Non-admitted,925094000,92509-40-00,"Administration of anesthesia, regional block, nerve of head or neck (not trigeminal) ASA 40","Administration of anesthesia, regional block, nerve of head or neck, other than trigeminal nerve division, ASA 40",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925094900,92509-49-00,"Administration of anesthesia, regional block, nerve of head or neck (not trigeminal) ASA 49","Administration of anesthesia, regional block, nerve of head or neck, other than trigeminal nerve division, ASA 49",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925095000,92509-50-00,"Administration of anesthesia, regional block, nerve of head or neck (not trigeminal) ASA 50","Administration of anesthesia, regional block, nerve of head or neck, other than trigeminal nerve division, ASA 50",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925095900,92509-59-00,"Administration of anesthesia, regional block, nerve of head or neck (not trigeminal) ASA 59","Administration of anesthesia, regional block, nerve of head or neck, other than trigeminal nerve division, ASA 59",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925096900,92509-69-00,"Administration of anesthesia, regional block, nerve of head or neck (not trigeminal) ASA 69","Administration of anesthesia, regional block, nerve of head or neck, other than trigeminal nerve division, ASA 69",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925091010,92509-10-10,"Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck ASA 10","Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck, ASA 10",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925091910,92509-19-10,"Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck ASA 19","Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck, ASA 19",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925092010,92509-20-10,"Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck ASA 20","Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck, ASA 20",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925092910,92509-29-10,"Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck ASA 29","Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck, ASA 29",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925093010,92509-30-10,"Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck ASA 30","Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck, ASA 30",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925093910,92509-39-10,"Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck ASA 39","Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck, ASA 39",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925094010,92509-40-10,"Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck ASA 40","Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck, ASA 40",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925094910,92509-49-10,"Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck ASA 49","Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck, ASA 49",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925095010,92509-50-10,"Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck ASA 50","Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck, ASA 50",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925095910,92509-59-10,"Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck ASA 59","Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck, ASA 59",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925096910,92509-69-10,"Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck ASA 69","Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck, ASA 69",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925099010,92509-90-10,"Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck ASA 90","Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck, ASA 90",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
